lithology_hardness_code,description,display_order,create_date,update_date,create_user,update_user
"VERY_HARD","Very Hard","60","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"VERY_SOFT","Very Soft","70","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"MEDIUM","Medium","30","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"STIFF","Stiff","50","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"LOOSE","Loose","20","2018-01-08 16:38:00-08","2018-01-08 16:38:00-08","ETL_USER","ETL_USER"
"DENSE","Dense","0","2018-01-08 16:38:00-08","2018-01-08 16:38:00-08","ETL_USER","ETL_USER"
"HARD","Hard","10","2018-01-08 16:38:00-08","2018-01-08 16:38:00-08","ETL_USER","ETL_USER"
"SOFT","Soft","40","2018-01-08 16:38:00-08","2018-01-08 16:38:00-08","ETL_USER","ETL_USER"
