create_user,create_date,update_user,update_date,decommission_method_code,description,display_order
WELLS,2006-12-14 09:58:28-08,WELLS,2006-12-14 09:58:28-08,POURED,Poured,100
WELLS,2006-12-14 09:58:28-08,WELLS,2006-12-14 09:58:28-08,PUMPED,Pumped,100
