create_user,create_date,update_user,update_date,lithology_material_code,description,display_order
PROXY_WELLS,2008-01-07 13:06:21-08,PROXY_WELLS,2008-01-10 16:52:25-08,51,peat,100
PROXY_WELLS,2008-01-07 13:11:25-08,PROXY_WELLS,2008-01-10 16:52:38-08,52,pea gravel,100
PROXY_WELLS,2008-01-07 13:23:15-08,PROXY_WELLS,2008-01-10 16:52:52-08,53,feldspar,100
PROXY_WELLS,2008-01-07 13:23:51-08,PROXY_WELLS,2008-01-10 16:53:02-08,54,greenstone,100
PROXY_WELLS,2008-01-07 13:27:08-08,PROXY_WELLS,2008-01-10 16:53:13-08,55,flint,100
PROXY_WELLS,2008-01-07 13:51:24-08,PROXY_WELLS,2008-01-10 16:53:22-08,56,claystone,100
PROXY_WELLS,2008-01-07 13:52:11-08,PROXY_WELLS,2008-01-10 16:53:32-08,57,dolostone,100
PROXY_WELLS,2008-01-07 13:52:49-08,PROXY_WELLS,2008-01-10 16:53:47-08,58,diorite,100
PROXY_WELLS,2008-01-07 13:55:07-08,PROXY_WELLS,2008-01-10 16:53:57-08,59,granodiorite,100
PROXY_WELLS,2008-01-07 13:55:28-08,PROXY_WELLS,2008-01-10 16:54:06-08,60,pegmatite,100
PROXY_WELLS,2008-01-07 13:56:00-08,PROXY_WELLS,2008-01-10 16:54:15-08,61,gabbro,100
PROXY_WELLS,2008-01-07 13:56:25-08,PROXY_WELLS,2008-01-10 16:54:26-08,62,syenite,100
PROXY_WELLS,2008-01-07 13:57:02-08,PROXY_WELLS,2008-01-10 16:54:35-08,63,andesite,100
PROXY_WELLS,2008-01-07 13:57:28-08,PROXY_WELLS,2008-01-10 16:54:46-08,64,rhyolite,100
PROXY_WELLS,2008-01-07 13:57:52-08,PROXY_WELLS,2008-01-10 16:54:56-08,65,loam,100
PROXY_WELLS,2008-01-07 13:58:29-08,PROXY_WELLS,2008-01-10 16:55:06-08,66,soil,100
PROXY_WELLS,2008-01-07 14:00:26-08,PROXY_WELLS,2008-01-10 16:55:15-08,67,pebbles,100
PROXY_WELLS,2008-01-07 14:00:53-08,PROXY_WELLS,2008-01-10 16:55:26-08,68,loess,100
PROXY_WELLS,2008-01-07 14:03:38-08,PROXY_WELLS,2008-01-10 16:55:35-08,69,diamicton,100
PROXY_WELLS,2008-01-07 14:04:00-08,PROXY_WELLS,2008-01-10 16:55:43-08,70,alluvium,100
PROXY_WELLS,2008-01-07 14:04:19-08,PROXY_WELLS,2008-01-10 16:55:52-08,71,colluvium,100
WELLS,2004-11-08 09:13:25-08,WELLS,2006-12-14 09:28:28-08,01,overburden,100
WELLS,2004-11-08 09:13:42-08,WELLS,2006-12-14 09:28:28-08,02,organic matter,100
WELLS,2004-11-08 09:14:06-08,WELLS,2006-12-14 09:28:28-08,03,topsoil,100
WELLS,2004-11-08 09:14:23-08,WELLS,2006-12-14 09:28:28-08,04,fill,100
WELLS,2004-11-08 09:14:36-08,WELLS,2006-12-14 09:28:28-08,05,rock,100
WELLS,2004-11-08 09:14:53-08,WELLS,2006-12-14 09:28:28-08,06,till,100
WELLS,2004-11-08 09:15:09-08,WELLS,2006-12-14 09:28:28-08,07,boulders,100
WELLS,2004-11-08 09:15:35-08,WELLS,2006-12-14 09:28:28-08,08,stones,100
WELLS,2004-11-08 09:15:51-08,WELLS,2006-12-14 09:28:28-08,09,gravel,100
WELLS,2004-11-08 09:16:20-08,WELLS,2006-12-14 09:28:28-08,10,sand,100
WELLS,2004-11-08 09:16:33-08,WELLS,2006-12-14 09:28:28-08,11,silt,100
WELLS,2004-11-08 09:16:51-08,WELLS,2006-12-14 09:28:28-08,12,muck,100
