aquifer_id, mapping_year
1,2012
2,2012
3,2012
4,1993
5,1993
6,1993
7,1993
8,1993
9,2012
10,1993
11,1993
12,1993
13,1993
14,2016
15,2018
16,1993
17,2016
18,2016
19,2016
20,2012
21,2012
22,1993
23,1993
24,2018
25,2016
26,2016
27,2018
28,2012
29,1993
30,2012
31,2012
32,2015
33,2015
34,2007
35,2015
36,2015
37,2015
38,2016
39,1993
40,1993
41,2018
42,1993
43,1993
44,1993
45,1993
46,1993
47,1993
48,1993
49,2000
50,2018
51,2018
52,2018
53,1993
54,2007
55,2007
56,2007
57,1993
58,2015
59,2018
60,1993
61,2000
62,1993
63,1993
64,1993
65,1993
66,1993
67,1993
68,1993
69,1993
70,1993
71,1993
72,2012
73,1993
74,2018
75,2018
76,2018
77,2018
78,1993
79,2018
80,2018
81,1994
82,1994
83,2017
84,2007
85,2017
86,2012
87,2012
88,2012
89,1994
90,1998
91,1994
92,2017
93,2017
94,2017
95,2017
96,1994
97,2017
98,2017
99,1994
100,2018
101,1994
102,1994
103,2017
104,1994
105,1994
106,1994
107,1994
108,2017
109,2017
110,1994
111,2017
112,1994
113,2017
114,2017
115,2017
116,2017
117,2017
118,2017
119,2017
120,2017
121,2017
122,2017
123,2017
124,2000
125,2000
126,2000
127,1994
128,1998
129,1998
130,1998
131,1998
132,2000
133,1999
134,1999
135,1999
136,1999
137,1999
138,1994
139,1994
140,1994
141,1994
142,1994
143,1994
144,1994
145,1994
146,1994
147,2007
148,2007
149,2007
150,2007
151,1994
152,1994
153,1994
154,2016
155,2007
156,2007
157,2007
158,2007
159,2007
160,2012
161,2012
162,2012
163,1995
164,2012
165,2012
166,1995
167,2012
168,1995
169,1995
170,1995
171,1995
172,2004
173,1995
174,1995
175,1995
176,1995
177,1995
178,2012
179,1995
180,1995
181,1995
182,1995
183,1995
184,1995
185,1995
186,1995
187,1995
188,1995
189,2012
190,2012
191,2012
192,2012
193,2012
194,2012
195,1996
196,1996
197,1996
198,1996
199,1996
200,1996
201,1996
202,1996
203,1996
204,1996
205,1996
206,1996
207,1996
208,2012
209,2012
210,2012
211,2012
212,2007
213,1996
214,2012
215,1996
216,2012
217,2012
218,2007
219,2012
220,2012
221,2007
222,1996
223,1996
224,1996
225,1996
226,1996
227,1996
228,1996
229,1996
230,1996
231,2018
232,2018
233,1996
234,1996
235,1996
236,1996
237,1996
238,2012
239,1996
240,1996
241,1996
242,1996
243,1996
244,1996
245,1996
246,1996
247,1996
248,2012
249,1996
250,1996
251,1996
252,1996
253,1996
254,2016
255,2016
256,2016
257,2016
258,2007
259,2016
260,2016
261,1997
262,2007
263,2007
264,1997
265,2016
266,2007
267,1997
268,2007
269,1997
270,2007
271,1996
272,1996
273,1996
274,1996
275,1996
276,1996
277,1996
278,1996
279,1996
280,1996
281,1996
282,1996
283,1996
284,1996
285,1996
286,1996
287,1996
288,1996
289,2018
290,1996
291,1996
292,1996
293,1996
294,1996
295,1996
296,1996
297,1997
298,1997
299,1997
300,1997
301,1997
302,1997
303,2007
304,1997
305,1997
306,1997
307,1997
308,1997
309,1997
310,2018
311,2018
312,1998
313,1998
314,2018
315,
316,2018
317,
318,2018
319,2018
320,1999
321,1998
322,1998
323,1998
324,1998
325,1998
326,2012
327,1999
328,1999
329,1999
330,1999
331,1999
332,1999
333,1999
334,2007
335,1999
336,2007
337,1998
338,1999
339,1999
340,1999
341,2007
342,2007
343,1999
344,1999
345,1999
346,2017
347,2017
348,2017
349,2017
350,2012
351,1999
352,2018
353,2017
354,2017
355,1999
356,2007
357,1999
358,1999
359,2017
360,2012
361,2012
362,1999
363,2012
364,1999
365,2012
366,1999
367,1999
368,1999
369,1999
370,1999
371,1999
372,1999
373,1999
374,1999
375,1999
376,1999
377,1999
378,1999
379,2000
380,2000
381,2017
382,2017
383,2000
384,2000
385,2001
386,2000
387,2007
388,2007
389,2007
390,2007
391,2007
392,2007
393,2007
394,2007
395,2007
396,2007
397,2007
398,2007
399,2007
400,2007
401,2007
402,2000
403,2000
404,2000
405,2000
406,2000
407,2000
408,2000
409,2000
410,2000
411,2009
412,2000
413,2012
414,2000
415,2000
416,2000
417,2012
418,2000
419,2000
420,2000
421,2000
422,2000
423,2000
424,2000
425,2000
426,2000
427,2000
428,2000
429,2000
430,2000
431,2001
432,2001
433,2001
434,2001
435,2001
436,2001
437,2001
438,2001
439,2003
440,2004
441,2004
442,2004
443,2004
444,2004
445,2016
446,2016
447,2006
448,2004
449,2003
450,2003
451,2004
452,2003
453,2016
454,2003
455,2003
456,2003
457,2003
458,2016
459,2003
460,2012
461,2001
462,2018
463,2018
464,2018
465,2018
466,2018
467,2001
468,2018
469,2001
470,2012
471,2012
472,2001
473,2001
474,2002
475,2002
476,2002
477,2002
478,2002
479,2002
480,2002
481,2002
482,2002
483,2002
484,2002
485,2002
486,2002
487,2002
488,2002
489,2002
490,2002
491,2002
492,2002
493,2002
494,2002
495,2002
496,2002
497,2002
498,2007
499,2012
500,2002
501,2002
502,2012
503,2002
504,2012
505,2012
506,2012
507,2002
508,2012
509,2002
510,2002
511,2016
512,2016
513,2016
514,2016
515,2002
516,2002
517,2002
518,2002
519,2002
520,2002
521,2002
522,2002
523,2003
524,2012
525,2016
526,2002
527,2012
528,2012
529,2012
530,2002
531,2002
532,2002
533,2002
534,2002
535,2016
536,2016
537,2016
538,2016
539,2016
540,2002
541,2002
542,2002
543,2002
544,2002
545,2002
546,2002
547,2001
548,2001
549,2001
550,2001
551,2002
552,2003
553,2003
554,2003
555,2003
556,2003
557,2012
558,2003
559,2012
560,2003
561,2003
562,2012
563,2012
564,2003
565,2012
566,2003
567,2012
568,2003
569,2003
570,2017
571,2017
572,2017
573,2017
574,2017
