aquifer_id, mapping_year
575,2017
576,2003
577,2003
578,2003
579,2003
580,2003
581,2003
582,2003
583,2003
584,2003
585,2003
586,2003
587,2003
588,2017
589,2003
590,2003
591,2003
592,2003
593,2003
594,2003
595,2003
596,2003
597,2003
598,2003
599,2003
600,2003
601,2003
602,2003
603,2016
604,2003
605,2003
606,2004
607,2003
608,2012
609,2003
610,2003
611,2012
612,2012
613,2012
614,2012
615,2003
616,2012
617,2012
618,2004
619,2006
620,2006
621,2003
622,2003
623,2003
624,2003
625,2003
626,2003
627,2003
628,2003
629,2003
630,2003
631,2003
632,2006
633,2003
634,2003
635,2003
636,2003
637,2003
638,2003
639,2003
640,2003
641,2003
642,2003
643,2003
644,2003
645,2003
646,2003
647,2003
648,2003
649,2003
650,2003
651,2003
652,2003
653,2003
654,2003
655,2003
656,2003
657,2003
658,2003
659,2003
660,2003
661,2004
662,2004
663,2012
664,2004
665,2004
666,2003
667,2003
668,2003
669,2003
670,2003
671,2003
672,2003
673,2003
674,2003
675,2003
676,2003
677,2003
678,2003
679,2003
680,2012
681,2012
682,2004
683,2004
684,2004
685,2004
686,2004
687,2004
688,2004
689,2004
690,2004
691,2004
692,2004
693,2004
694,2004
695,2004
696,2004
697,2004
698,2004
699,2004
700,2004
701,2004
702,2004
703,2004
704,2004
705,2004
706,2004
707,2004
708,2004
709,2004
710,2004
711,2004
712,2004
713,2004
714,2004
715,2004
716,2018
717,2004
718,2004
719,2004
720,2004
721,2005
722,2005
723,2005
724,2018
725,2018
726,2018
727,2004
728,2004
729,2006
730,2012
731,2012
732,2012
733,2006
734,2006
735,2006
736,2006
737,2006
738,2006
739,2006
740,2006
741,2006
742,2006
743,2006
744,2006
745,2006
746,2006
747,2006
748,2006
749,2006
750,2006
751,2006
752,2006
753,2012
754,2012
755,2006
756,2006
757,2006
758,2006
759,2006
760,2006
761,2006
762,2012
763,2006
764,2006
765,2011
766,2006
767,2006
768,2006
769,2006
770,2006
771,2006
772,2006
773,2006
774,2006
775,2006
776,2006
777,2006
778,2006
779,2006
780,2006
781,2006
782,2006
783,2006
784,2006
785,2006
786,2006
787,2006
788,2017
789,2017
790,2017
791,2017
792,2017
793,2017
794,2017
795,2006
796,2006
797,2006
798,2006
799,2006
800,2006
801,2006
802,2006
803,2006
804,2006
805,2006
806,2006
807,2006
808,2012
809,2006
810,2012
811,2006
812,2006
813,2006
814,2006
815,2006
816,2006
817,2006
818,2017
819,2007
820,2007
821,2007
822,2007
823,2007
824,2007
825,2007
826,2007
827,2007
828,2007
829,2007
830,2007
831,2007
832,2007
833,2007
834,2012
835,2007
836,2007
837,2007
838,2007
839,2012
840,2007
841,2007
842,2006
843,2007
844,2007
845,2006
846,2007
847,2012
848,
849,
850,2011
851,2011
852,2007
853,2007
854,2007
855,
856,
857,2007
858,2007
859,2007
860,2007
861,2007
862,2007
863,2007
864,2007
865,2007
866,2007
867,2007
868,2007
869,2007
870,2007
871,2007
872,2007
873,2007
874,2007
875,2007
876,2007
877,2007
878,2016
879,2016
880,2016
881,2016
882,2007
883,2007
884,2016
885,2007
886,2016
887,2016
888,2016
889,2016
890,2007
891,2007
892,2012
893,2012
894,2012
895,2012
896,2007
897,2016
898,2007
899,2007
900,2007
901,2007
902,2009
903,2011
904,2007
905,2007
906,2007
907,2007
908,2011
909,2007
910,2011
911,2007
912,2007
913,2007
914,2007
915,2007
916,2007
917,2011
918,2007
919,2007
920,2007
921,2007
922,2007
923,2011
924,2007
925,2007
926,2007
927,2007
928,2011
929,2011
930,2011
931,2011
932,2011
933,2011
934,2011
935,2012
936,2012
937,2012
938,2012
939,2012
940,2012
941,2012
942,2012
943,2012
944,2012
945,2012
946,2012
947,2012
948,2012
949,2012
950,2012
951,2012
952,2012
953,2012
954,2012
955,2012
956,2012
957,2012
958,2012
959,2012
960,2012
961,2012
962,2012
963,2012
964,2012
965,2012
966,2012
967,2012
968,2012
969,2012
970,2016
971,2016
972,2012
973,2012
974,2012
975,2012
976,2012
977,
978,2017
979,2017
980,2012
981,2012
982,2012
983,2012
984,2012
985,2012
986,2012
987,2012
988,2012
989,2012
990,2012
991,2012
992,2012
993,2012
994,2012
995,2012
996,2012
997,2012
998,2012
999,2016
1000,2012
1001,2012
1002,2018
1003,2012
1004,2012
1005,2012
1006,2012
1007,2012
1008,2012
1009,2012
1010,2012
1011,2012
1012,2012
1013,2012
1014,2012
1015,2012
1016,2012
1017,2012
1018,2012
1019,2013
1020,2013
1021,2013
1022,2013
1023,2013
1024,2013
1025,2013
1026,2013
1027,2013
1028,2013
1029,2013
1030,2013
1031,2013
1032,2013
1033,2013
1034,2013
1035,2013
1036,2013
1037,2013
1038,2013
1039,2013
1040,2013
1041,2013
1042,2013
1043,2013
1044,2013
1045,2013
1046,2013
1047,2013
1048,2013
1049,2013
1050,2013
1051,2015
1052,2015
1053,2015
1054,2015
1055,2015
1056,2015
1057,2015
1058,2015
1059,2015
1060,2015
1061,2015
1062,2015
1063,2015
1064,2015
1065,2015
1066,2015
1067,2015
1068,2015
1069,2015
1070,2015
1071,2015
1072,2015
1073,2015
1074,2015
1075,2015
1076,2015
1077,2015
1078,2015
1079,2015
1080,2015
1081,2015
1082,2015
1083,2015
1084,
1085,2015
1086,
1087,2015
1088,2015
1089,
1090,2015
1091,
1092,
1093,
1094,2015
1095,
1096,2015
1097,
1098,2015
1099,
1100,2016
1101,2016
1102,2016
1103,2016
1104,2016
1105,2016
1106,2016
1107,2016
1108,2016
1109,2016
1110,2016
1111,2016
1112,2016
1113,2016
1114,2016
1115,2016
1116,2016
1117,2016
1118,2016
1119,2016
1120,2016
1121,2016
1122,2016
1123,2016
1124,2016
1125,2016
1126,2016
1127,2016
1128,2016
1129,2016
1130,2016
1131,2016
1132,2016
1133,2016
1134,2016
1135,2016
1136,2016
1137,2016
1138,2016
1139,2016
1140,2016
1141,2016
1142,2016
1143,2016
1144,2017
1145,2017
1146,2017
1147,2018
1148,2018
1149,2017
1150,2017
1151,2017
1152,2017
1153,2017
1154,2017
1155,2017
1156,2017
1157,2017
1158,2018
1159,2018
1160,2018
1161,2018
1162,2018
1163,2018
1164,2018
1165,2018
1166,2018
1167,2018
1168,2018
1169,2018
1170,2018
1171,2018
1172,2018
1173,2018
1174,2018
1175,2018
1176,2018
1177,2018
1178,2018
1179,2018
1180,2018
1181,2018
1182,2018
1183,2018
1184,2018
1185,2018
1186,2018
1187,2018
1188,2018
1189,2018
1190,2018
1191,2018
1192,2018
1193,2018
1194,2018
1195,2018
