create_user,create_date,update_user,update_date,lithology_description_code,description,display_order
PROXY_WELLS,2008-01-07 12:32:11-08,PROXY_WELLS,2008-01-10 16:46:59-08,48,cemented,100
PROXY_WELLS,2008-01-07 12:32:55-08,PROXY_WELLS,2008-01-10 16:47:12-08,49,clean,100
PROXY_WELLS,2008-01-07 12:33:42-08,PROXY_WELLS,2008-01-10 16:47:23-08,50,coarse-grained,100
PROXY_WELLS,2008-01-07 12:34:57-08,PROXY_WELLS,2008-01-10 16:47:36-08,51,crystalline,100
PROXY_WELLS,2008-01-07 12:39:40-08,PROXY_WELLS,2008-01-10 16:47:58-08,53,dense,100
PROXY_WELLS,2008-01-07 12:40:41-08,PROXY_WELLS,2008-01-10 16:48:11-08,54,dirty,100
PROXY_WELLS,2008-01-07 12:41:35-08,PROXY_WELLS,2008-01-10 16:48:21-08,55,dry,100
PROXY_WELLS,2008-01-07 12:42:31-08,PROXY_WELLS,2008-01-10 16:48:32-08,56,fine-grained,100
PROXY_WELLS,2008-01-07 12:44:32-08,PROXY_WELLS,2008-01-10 16:48:48-08,57,fossiliferous (shelly),100
PROXY_WELLS,2008-01-07 12:45:28-08,PROXY_WELLS,2008-01-10 16:48:58-08,58,fractured,100
PROXY_WELLS,2008-01-07 12:47:07-08,PROXY_WELLS,2008-01-10 16:49:18-08,59,hard,100
PROXY_WELLS,2008-01-07 12:48:42-08,PROXY_WELLS,2008-01-10 16:49:30-08,60,layered (streaked),100
PROXY_WELLS,2008-01-07 12:49:28-08,PROXY_WELLS,2008-01-10 16:49:41-08,61,light-coloured,100
PROXY_WELLS,2008-01-07 12:50:03-08,PROXY_WELLS,2008-01-10 16:49:50-08,62,loose,100
PROXY_WELLS,2008-01-07 12:51:07-08,PROXY_WELLS,2008-01-10 16:50:01-08,63,medium-grained,100
PROXY_WELLS,2008-01-07 12:51:43-08,PROXY_WELLS,2008-01-10 16:50:11-08,64,packed,100
PROXY_WELLS,2008-01-07 12:52:39-08,PROXY_WELLS,2008-01-10 16:50:20-08,65,porous,100
PROXY_WELLS,2008-01-07 12:53:37-08,PROXY_WELLS,2008-01-10 16:50:33-08,66,sharp,100
PROXY_WELLS,2008-01-07 12:54:26-08,PROXY_WELLS,2008-01-10 16:50:42-08,67,soft,100
PROXY_WELLS,2008-01-07 12:55:59-08,PROXY_WELLS,2008-01-10 16:51:00-08,69,thick,100
PROXY_WELLS,2008-01-07 13:01:41-08,PROXY_WELLS,2008-01-10 16:51:11-08,70,thin,100
PROXY_WELLS,2008-01-07 13:02:34-08,PROXY_WELLS,2008-01-10 16:51:19-08,71,water-bearing,100
PROXY_WELLS,2008-01-07 13:03:12-08,PROXY_WELLS,2008-01-10 16:51:27-08,72,weathered,100
PROXY_WELLS,2008-01-07 14:10:28-08,PROXY_WELLS,2008-01-10 16:51:36-08,73,tight,100
WELLS,2004-11-08 09:29:46-08,WELLS,2006-12-14 09:29:25-08,01,acidic,100
WELLS,2004-11-08 09:30:19-08,WELLS,2006-12-14 09:29:25-08,02,argillaceous,100
WELLS,2004-11-08 09:30:33-08,WELLS,2006-12-14 09:29:25-08,03,basic,100
WELLS,2004-11-08 09:30:51-08,WELLS,2006-12-14 09:29:25-08,04,bentonitic,100
WELLS,2004-11-08 09:31:13-08,WELLS,2006-12-14 09:29:25-08,05,bituminous,100
WELLS,2004-11-08 09:31:33-08,WELLS,2006-12-14 09:29:25-08,06,bouldery,100
WELLS,2004-11-08 09:31:55-08,WELLS,2006-12-14 09:29:25-08,07,calcareous,100
WELLS,2004-11-08 09:32:24-08,WELLS,2006-12-14 09:29:25-08,08,carbonaceous,100
WELLS,2004-11-08 09:32:49-08,WELLS,2006-12-14 09:29:25-08,09,chalcedonic,100
WELLS,2004-11-08 09:33:03-08,WELLS,2006-12-14 09:29:25-08,10,cherty,100
WELLS,2004-11-08 09:33:23-08,WELLS,2006-12-14 09:29:25-08,11,clay streaks,100
WELLS,2004-11-08 09:33:38-08,WELLS,2006-12-14 09:29:25-08,12,clayey,100
