well_yield_unit_guid,code,description,sort_order,create_date,update_date,create_user,update_user
"c4634b4847c311e7a91992ebcb67fe33","GPH","Gallons per Hour (U.S./Imperial)","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"c4634ef447c311e7a91992ebcb67fe33","GPM","Gallons per Minute (U.S./Imperial)","2","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"c4634ff847c311e7a91992ebcb67fe33","IGM","Imperial Gallons per Minute","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"c46350c047c311e7a91992ebcb67fe33","LPS","Litres Per Second","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"c463518847c311e7a91992ebcb67fe33","UNK","Unknown Yield","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"c463525047c311e7a91992ebcb67fe33","USGPM","U.S. Gallons per Minute","1","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"c46347b047c311e7a91992ebcb67fe33","DRY","Dry Hole","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
