province_state_guid,code,description,sort_order,when_created,when_updated,who_created,who_updated
"f46b70b647d411e7a91992ebcb67fe33","BC","British Colmubia","2","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"f46b742647d411e7a91992ebcb67fe33","AB","Alberta","4","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"95438226b51b497982bdd8dbbc153b03","ON","Ontario","6","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"8b51f479f3b64464858be3388a015e05","YK","Yukon","8","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"f46b77b447d411e7a91992ebcb67fe33","WA","Washington State","10","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"f46b7b1a47d411e7a91992ebcb67fe33","OTHER","Other","20","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
