create_user,create_date,update_user,update_date,surface_seal_method_code,description,display_order
WELLS,2006-12-14 09:58:30-08,,,POURED,Poured,10
WELLS,2006-12-14 09:58:30-08,,,PUMPED,Pumped,20
WELLS,2006-12-14 09:58:30-08,,,OTHER,Other,30
