create_user,create_date,update_user,update_date,decommission_method_code,description,status_flag,display_order,decommission_method_guid
WELLS,2006-12-14 09:58:28-08,WELLS,2006-12-14 09:58:28-08,POURED,Poured,t,100,5fe841ff-8307-441e-a17e-6396ba40a167
WELLS,2006-12-14 09:58:28-08,WELLS,2006-12-14 09:58:28-08,PUMPED,Pumped,t,100,6a97f07d-f3c1-49e6-b50f-b7fa469175de
