intended_water_use_guid,intended_water_use_code,description,display_order,create_date,update_date,create_user,update_user
"932775ca47de11e7a91992ebcb67fe33","COM","Commercial and Industrial","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"9327783647de11e7a91992ebcb67fe33","DOM","Private Domestic","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"9327793a47de11e7a91992ebcb67fe33","IRR","Irrigation","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"9328085a47de11e7a91992ebcb67fe33","OBS","Observation Well","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93280af847de11e7a91992ebcb67fe33","OTHER","Other","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93280bf247de11e7a91992ebcb67fe33","UNK","Unknown Well Use","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93280cce47de11e7a91992ebcb67fe33","TST","Test","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93280da047de11e7a91992ebcb67fe33","DWS","Water Supply System","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93280e7c47de11e7a91992ebcb67fe33","OP_LP_GEO","Open LP Geoexchange","100","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
