create_user,create_date,update_user,update_date,casing_material_code,description,display_order
ETL_USER,2017-07-01 01:00:00-07,ETL_USER,2017-07-01 01:00:00-07,STEEL,Steel,10
ETL_USER,2017-07-01 01:00:00-07,ETL_USER,2017-07-01 01:00:00-07,STL_PUL_OT,Steel Pulled Out,20
ETL_USER,2017-07-01 01:00:00-07,ETL_USER,2017-07-01 01:00:00-07,PLASTIC,Plastic,30
ETL_USER,2017-07-01 01:00:00-07,ETL_USER,2017-07-01 01:00:00-07,CEMENT,Cement,40
ETL_USER,2017-07-01 01:00:00-07,ETL_USER,2017-07-01 01:00:00-07,OTHER,Other,50
WELLS,2006-12-14 09:58:28-08,WELLS,2006-12-14 09:58:28-08,OPEN_HOLE,Open hole,100
