create_user,create_date,update_user,update_date,lithology_colour_guid,lithology_colour_code,description,is_hidden,display_order
WELLS,2004-11-08 09:06:56-08,WELLS,2006-12-14 09:29:23-08,2f53b987-ea24-4d66-9a44-c5f747df65a3,01,black,f,100
WELLS,2004-11-08 09:07:10-08,WELLS,2006-12-14 09:29:23-08,732c1e7a-66ba-42f9-8b43-b80dcbe35a3a,02,blue,f,100
WELLS,2004-11-08 09:07:24-08,WELLS,2006-12-14 09:29:23-08,13cf52e5-9622-488d-b587-3ff8316be4a7,03,brown,f,100
WELLS,2004-11-08 09:07:37-08,WELLS,2006-12-14 09:29:23-08,ed3c60fa-1adf-46c6-9256-ea2ea2fec233,04,grey,f,100
WELLS,2004-11-08 09:07:52-08,WELLS,2006-12-14 09:29:23-08,f3e6a01e-2a70-461f-ac4a-d6a66716f1f0,05,green,f,100
WELLS,2004-11-08 09:08:04-08,WELLS,2006-12-14 09:29:23-08,a15a5601-9882-4548-a089-8f11ec871ed8,06,red,f,100
WELLS,2004-11-08 09:08:18-08,WELLS,2006-12-14 09:29:23-08,665b5ada-9d92-4c19-87a9-1b2bd9d05e4d,07,white,f,100
WELLS,2004-11-08 09:08:32-08,WELLS,2006-12-14 09:29:23-08,d9175351-fbaa-4548-9f6e-b1b3f0128d60,08,yellow,f,100
WELLS,2004-11-08 09:08:46-08,WELLS,2006-12-14 09:29:23-08,0970f302-f89a-4eb0-9393-e1d8aeb3d27e,09,light,f,100
WELLS,2004-11-08 09:08:58-08,WELLS,2006-12-14 09:29:23-08,9de281aa-8656-4821-8865-8624bf492882,10,dark,f,100
WELLS,2004-11-08 09:09:13-08,WELLS,2006-12-14 09:29:23-08,da1b0f48-c8ab-4a3c-97fa-0429ad2034ec,11,purple,f,100
WELLS,2004-11-08 09:09:31-08,WELLS,2006-12-14 09:29:23-08,a22bc93b-6c56-4f75-b05c-f65411006acf,12,rust-coloured,f,100
WELLS,2004-11-08 09:09:49-08,WELLS,2006-12-14 09:29:23-08,4a499c6f-8ac7-4cfd-93fa-59d2b005120d,13,speckled,f,100
WELLS,2004-11-08 09:10:08-08,WELLS,2006-12-14 09:29:23-08,e8561455-8e61-4f18-a0ff-98dbc969f244,14,vari-coloured,f,100
WELLS,2004-11-08 09:10:26-08,WELLS,2006-12-14 09:29:23-08,61483e45-1c93-4e38-a315-90992289de2c,15,salt & pepper,f,100
WELLS,2004-11-08 09:50:45-08,WELLS,2006-12-14 09:29:23-08,cf842313-0d0b-4373-8342-9622bf4af311,00,0 nothing entered,f,100
WELLS,2005-06-09 09:58:48-07,WELLS,2006-12-14 09:29:23-08,f9eaaa71-a34a-41f4-a232-976f1a5ebcdb,16,tan,f,100
