code,description,display_order,create_date,update_date,create_user,update_user
"LICENSED","Licensed","10","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"UNLICENSED","Unlicensed","20","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
