who_created,when_created,who_updated,when_updated,lithology_description_code_guid,code,description,sort_order
PROXY_WELLS,2008-01-07 12:32:11-08,PROXY_WELLS,2008-01-10 16:46:59-08,c19d1788-5150-431a-9925-d0ab8c30766c,48,cemented,100
PROXY_WELLS,2008-01-07 12:32:55-08,PROXY_WELLS,2008-01-10 16:47:12-08,d41e5e82-2c6e-4b05-8c9d-735d82a49557,49,clean,100
PROXY_WELLS,2008-01-07 12:33:42-08,PROXY_WELLS,2008-01-10 16:47:23-08,aad56991-3ef7-4a02-b212-7c55e2959603,50,coarse-grained,100
PROXY_WELLS,2008-01-07 12:34:57-08,PROXY_WELLS,2008-01-10 16:47:36-08,29dc0d82-94f5-4db7-aaa6-5293428eca6a,51,crystalline,100
PROXY_WELLS,2008-01-07 12:39:40-08,PROXY_WELLS,2008-01-10 16:47:58-08,0533ef54-399e-4704-924a-77583e4ecaf5,53,dense,100
PROXY_WELLS,2008-01-07 12:40:41-08,PROXY_WELLS,2008-01-10 16:48:11-08,82df76b5-e027-44d4-94c2-98c7e5c6531a,54,dirty,100
PROXY_WELLS,2008-01-07 12:41:35-08,PROXY_WELLS,2008-01-10 16:48:21-08,399d66f9-609b-41f7-9b07-8db376ecf2f0,55,dry,100
PROXY_WELLS,2008-01-07 12:42:31-08,PROXY_WELLS,2008-01-10 16:48:32-08,7e6d1523-38a2-48b1-8712-d30351a92c4e,56,fine-grained,100
PROXY_WELLS,2008-01-07 12:44:32-08,PROXY_WELLS,2008-01-10 16:48:48-08,38c56f7a-f786-4530-9a99-5fd31c3ed307,57,fossiliferous (shelly),100
PROXY_WELLS,2008-01-07 12:45:28-08,PROXY_WELLS,2008-01-10 16:48:58-08,8c0094f9-5bcd-4ca5-9ac5-420ea6774d6c,58,fractured,100
PROXY_WELLS,2008-01-07 12:47:07-08,PROXY_WELLS,2008-01-10 16:49:18-08,5a1f25d2-7887-4286-9ccf-6a34ba0bc3f6,59,hard,100
PROXY_WELLS,2008-01-07 12:48:42-08,PROXY_WELLS,2008-01-10 16:49:30-08,c2193db5-caa0-4120-8d14-dba5fd5c4eae,60,layered (streaked),100
PROXY_WELLS,2008-01-07 12:49:28-08,PROXY_WELLS,2008-01-10 16:49:41-08,4232bdb7-8353-4d0e-903b-f65e7a1109d6,61,light-coloured,100
PROXY_WELLS,2008-01-07 12:50:03-08,PROXY_WELLS,2008-01-10 16:49:50-08,8c9bffb0-2945-49e6-aac3-de332d82a4ea,62,loose,100
PROXY_WELLS,2008-01-07 12:51:07-08,PROXY_WELLS,2008-01-10 16:50:01-08,e54c7433-3582-4ef3-8406-de93b5644f76,63,medium-grained,100
PROXY_WELLS,2008-01-07 12:51:43-08,PROXY_WELLS,2008-01-10 16:50:11-08,5fbf2767-1cb2-4da5-bdc1-890c74c7079f,64,packed,100
PROXY_WELLS,2008-01-07 12:52:39-08,PROXY_WELLS,2008-01-10 16:50:20-08,9e02b7e7-1dc0-4949-b999-dcb975a4d3f7,65,porous,100
PROXY_WELLS,2008-01-07 12:53:37-08,PROXY_WELLS,2008-01-10 16:50:33-08,85b041fa-d9e0-4c15-b1d9-283f0fe6f3f1,66,sharp,100
PROXY_WELLS,2008-01-07 12:54:26-08,PROXY_WELLS,2008-01-10 16:50:42-08,bb3d9803-c457-4a77-957e-e7786f45ec27,67,soft,100
PROXY_WELLS,2008-01-07 12:55:59-08,PROXY_WELLS,2008-01-10 16:51:00-08,cdb51781-13d7-4ab6-81bc-c153edb09719,69,thick,100
PROXY_WELLS,2008-01-07 13:01:41-08,PROXY_WELLS,2008-01-10 16:51:11-08,68afd269-ea1f-4bcc-9aee-4416786ea4cc,70,thin,100
PROXY_WELLS,2008-01-07 13:02:34-08,PROXY_WELLS,2008-01-10 16:51:19-08,618eafe4-670f-4f7e-93b2-b7ba571868f8,71,water-bearing,100
PROXY_WELLS,2008-01-07 13:03:12-08,PROXY_WELLS,2008-01-10 16:51:27-08,fa77b0a1-19a5-41c7-8bab-d9fd9471e2db,72,weathered,100
PROXY_WELLS,2008-01-07 14:10:28-08,PROXY_WELLS,2008-01-10 16:51:36-08,e5ed7697-8e4e-4fe6-b43e-2231a32fbb5a,73,tight,100
WELLS,2004-11-08 09:29:46-08,WELLS,2006-12-14 09:29:25-08,ddbf5d9a-6c79-4dd0-bb44-7a9711faa057,01,acidic,100
WELLS,2004-11-08 09:30:19-08,WELLS,2006-12-14 09:29:25-08,0501e184-33dc-4972-bb19-daa9358860a0,02,argillaceous,100
WELLS,2004-11-08 09:30:33-08,WELLS,2006-12-14 09:29:25-08,f87479ab-66f1-4cfc-871b-4f15ad271409,03,basic,100
WELLS,2004-11-08 09:30:51-08,WELLS,2006-12-14 09:29:25-08,80165a11-c431-4979-9d5e-3f3d0c21bf02,04,bentonitic,100
WELLS,2004-11-08 09:31:13-08,WELLS,2006-12-14 09:29:25-08,6babb53d-183c-4774-9f51-0a5456991baa,05,bituminous,100
WELLS,2004-11-08 09:31:33-08,WELLS,2006-12-14 09:29:25-08,a000b57e-16ff-4b3f-b0c4-23b07a44a58a,06,bouldery,100
WELLS,2004-11-08 09:31:55-08,WELLS,2006-12-14 09:29:25-08,d99db12a-86f2-473e-b529-5a3a44b50443,07,calcareous,100
