lithology_structure_guid,code,description,is_hidden,sort_order,when_created,when_updated,who_created,who_updated
"02f2917262a711e7907ba6006ad3dba0","Massive","Massive","N","10","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"02f2976262a711e7907ba6006ad3dba0","Thick Bed","Thickly Bedded","N","20","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"02f29a0a62a711e7907ba6006ad3dba0","Bedded","Bedded","N","30","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"02f29c1262a711e7907ba6006ad3dba0","Thin Bed","Thinly Bedded","N","40","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"02f29dfc62a711e7907ba6006ad3dba0","Laminated","Laminated","N","50","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
