lithology_weathering_guid,code,description,is_hidden,sort_order,create_date,update_date,create_user,update_user
"f9d3fee062a711e7907ba6006ad3dba0","Mottled","Mottled","N","10","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"f9d4041c62a711e7907ba6006ad3dba0","Jointed","Jointed","N","20","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
