well_subclass_guid,well_subclass_code,description,is_hidden,display_order,well_class_guid,create_date,update_date,create_user,update_user
"5a3152c847e711e7a91992ebcb67fe33","BOREHOLE","Borehole","N","100",,"2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31547647e711e7a91992ebcb67fe33","DOMESTIC","Domestic","N","100",,"2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31562e47e711e7a91992ebcb67fe33","TEST_PIT","Test Pit","N","100",,"2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31460c47e711e7a91992ebcb67fe33","TEMPORARY","Temporary","N","100","ecdc375c47e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"930540ee480211e7a91992ebcb67fe33","PERMANENT","Permanent","N","100","ecdc375c47e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31510647e711e7a91992ebcb67fe33","BOREHOLE","Borehole","N","100","ecdc3f9a47e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93053fd6480211e7a91992ebcb67fe33","TEST_PIT","Test Pit","N","100","ecdc3f9a47e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a3147d847e711e7a91992ebcb67fe33","SPECIAL","Special","N","100","ecdc3f9a47e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a313ffe47e711e7a91992ebcb67fe33","DOMESTIC","Domestic","N","100","ecdc339247e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a3141c047e711e7a91992ebcb67fe33","NON_DOMEST","Non Domestic","N","100","ecdc339247e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"93053cc0480211e7a91992ebcb67fe33","PERMANENT","Permanent","N","100","ecdc394647e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a31440447e711e7a91992ebcb67fe33","TEMPORARY","Temporary","N","100","ecdc41b647e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"5a314ee047e711e7a91992ebcb67fe33","PERMANENT","Permanent","N","100","ecdc41b647e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"3fa278b04ca111e7b114b2f933d5fe66","PERMANENT","Permanent","N","100","ecdc453a47e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"3fa27b8a4ca111e7b114b2f933d5fe66","PERMANENT","Permanent","N","100","ecdc485a47e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
"3fa27c984ca111e7b114b2f933d5fe66","NA","Not Applicable","N","100","ecdc46b647e011e7a91992ebcb67fe33","2017-07-01 00:00:00-08","2017-07-01 00:00:00-08","ETL_USER","ETL_USER"
