"WHO_CREATED","WHEN_CREATED","WHO_UPDATED","WHEN_UPDATED","SURFACE_SEAL_MATERIAL_GUID","CODE","DESCRIPTION","display_order","SEALANT_MATERIAL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A14DE04E0530CB3228E67B2,"25 MPA CC & AGILIA BLOCK FILL AGENT","25 Mpa Concrete & Agilia Block Fill Agent",10,"25 MPA CONCRETE & AGILIA BLOCK FILL AGENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A15DE04E0530CB3228E67B2,"3/4 BT","3/4 Bentonite",20,"3/4 BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A16DE04E0530CB3228E67B2,"3/8 BT","3/8 Bentonite",30,"3/8 BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A17DE04E0530CB3228E67B2,"3/8 BT CHIPS","3/8 Bentonite Chips",40,"3/8 BENTONITE CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A18DE04E0530CB3228E67B2,"3/8 BT HOLE PLUG","3/8 Bentonite Hole Plug",50,"3/8 BENTONITE HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A19DE04E0530CB3228E67B2,"3/8 CHIPS","3/8 Chips",60,"3/8 CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A1ADE04E0530CB3228E67B2,"3/8 HOLE PLUG","3/8 Hole Plug",70,"3/8 HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A1BDE04E0530CB3228E67B2,"3/8"" BT","3/8 Inch Bentonite",80,"3/8 INCH BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A1CDE04E0530CB3228E67B2,"3/8"" HOLE PLUG","3/8 Inch Hole Plug",90,"3/8 INCH HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A1DDE04E0530CB3228E67B2,"3/8"" BT","3/8"" Bentonite",100,"3/8"" BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A1EDE04E0530CB3228E67B2,"3/8"" HOLDPLUG","3/8"" Holdplug",110,"3/8"" HOLDPLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08",552AC8CB8A1FDE04E0530CB3228E67B2,"3/8"" HOLE PLUG.","3/8"" Hole Plug.",120,"3/8"" HOLE PLUG."
