who_created,when_created,who_updated,when_updated,screen_type_guid,code,description,is_hidden,sort_order 
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","335f4018796711e7b5a5be2e44b06b34","PIPE","Pipe size","N","10"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","335f42ca796711e7b5a5be2e44b06b34","TELE","Telescope","N","20"
