create_user,create_date,update_user,update_date,screen_intake_code,description,status_flag,display_order
WELLS,2006-12-14 09:58:29-08,,,OPEN_HOLE,Open Bottom,t,100
WELLS,2006-12-14 09:58:29-08,,,SCREEN,Screen,t,100
WELLS,2006-12-14 09:58:29-08,,,UNCASD_HLE,Uncased Hole,t,100
