who_created,when_created,who_updated,when_updated,casing_type_guid,code,description,is_hidden,sort_order 
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","59bc478c6c1611e7907ba6006ad3dba0","PROD","Production Casing","N","10"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","59bc4f8e6c1611e7907ba6006ad3dba0","SURF","Surface Casing","N","20"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","59bc53626c1611e7907ba6006ad3dba0","OPEN","Open Hole","N","30"
