create_user,create_date,update_user,update_date,drilling_company_guid,drilling_company_code,name
PROXY_WELLS,2008-08-05 12:00:07-07,,,62409874-977b-4088-9588-6956de819c66,493,Newgrowth Capital Corp
PROXY_WELLS,2008-09-23 10:59:26-07,,,1fce8293-1fb6-4867-91aa-752a3601d430,498,Corley Drilling
PROXY_WELLS,2010-06-15 09:08:30-07,,,ab35b2ea-4afc-41b1-9c95-d3ef1986f5ae,510,Wisharts Water Well
PROXY_WELLS,2011-02-14 09:07:50-08,,,5d5caaa0-7234-4916-a4a3-5368ec571112,515,Geotech Drilling Ser
PROXY_WELLS,2011-03-09 12:45:55-08,,,793742ed-464d-4be2-aee1-67228cd7c52f,516,Webster Drilling
PROXY_WELLS,2012-08-20 11:01:11-07,,,c3f2dc71-e641-47cb-8200-03e09307c0ce,1001,Hotearth Energy
PROXY_WELLS,2007-11-29 10:43:42-08,,,7293a599-4f80-4bb6-b80e-8fcf441b4658,490,West-Coast Drilling
PROXY_WELLS,2009-07-15 10:29:55-07,,,9d51963d-86b9-4099-a947-15bd3a0d6b23,504,Downrite Drilling
PROXY_WELLS,2009-11-05 10:07:08-08,,,0164ec0b-b1f5-4f1e-984c-7c0ee9263e9a,507,Hopper Water Well
PROXY_WELLS,2010-07-28 09:51:03-07,,,a84f0a27-1786-4d0d-aafe-98f115b5a749,512,Monashee Aquifer
PROXY_WELLS,2011-05-27 15:08:27-07,PROXY_WELLS,2011-05-27 15:09:33-07,6b46e159-15bd-46d4-a445-f5a56b76a496,517,Mearls Machine Works
PROXY_WELLS,2011-05-30 16:21:44-07,,,10f45e79-4517-4f64-9870-5d669fb417a4,518,JOHN LYPKIE
PROXY_WELLS,2011-07-13 14:16:00-07,PROXY_WELLS,2013-05-08 15:28:19-07,0aa2f785-1a24-4f45-aa3a-277df1e9698f,519,Fred Cudlip
PROXY_WELLS,2012-01-18 11:03:31-08,,,96a9e588-64d9-41db-82bc-1fc40594b5c4,521,SEACOR
PROXY_WELLS,2013-09-30 14:55:40-07,,,9dff9db0-2bb4-488c-abf7-50729a177639,1004,Fyfe Well & Water
