registries_status_code,description,display_order,create_date,update_date,create_user,update_user
"ACTIVE","Active","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"REMOVED","Removed","4","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
