registries_activity_code,description,display_order,create_date,update_date,create_user,update_user
"DRILL","Well Driller","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"PUMP","Pump Installer","4","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
