"WHO_CREATED","WHEN_CREATED","WHO_UPDATED","WHEN_UPDATED","CODE","DESCRIPTION","display_order","SEALANT_MATERIAL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","25 MPA CC & AGILIA BLOCK FILL AGENT","25 Mpa Concrete & Agilia Block Fill Agent",10,"25 MPA CONCRETE & AGILIA BLOCK FILL AGENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/4 BT","3/4 Bentonite",20,"3/4 BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 BT","3/8 Bentonite",30,"3/8 BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 BT CHIPS","3/8 Bentonite Chips",40,"3/8 BENTONITE CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 BT HOLE PLUG","3/8 Bentonite Hole Plug",50,"3/8 BENTONITE HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 CHIPS","3/8 Chips",60,"3/8 CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8 HOLE PLUG","3/8 Hole Plug",70,"3/8 HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" BT","3/8 Inch Bentonite",80,"3/8 INCH BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" HOLE PLUG","3/8 Inch Hole Plug",90,"3/8 INCH HOLE PLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" BT","3/8"" Bentonite",100,"3/8"" BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" HOLDPLUG","3/8"" Holdplug",110,"3/8"" HOLDPLUG"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","3/8"" HOLE PLUG.","3/8"" Hole Plug.",120,"3/8"" HOLE PLUG."
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","30% SOLIDS BT GR","30% Solids Bentonite Grout",130,"30% SOLIDS BENTONITE GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","AS ABOVE","As Above",140,"AS ABOVE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BACK FILLED","Back Filled",150,"BACK FILLED"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BARITE GR","Barite Grout",160,"BARITE GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Benonite",170,"BENONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT NATIVE MATERIAL","Benonite Native Material",180,"BENONITE NATIVE MATERIAL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BENSEAL","Benseal",190,"BENSEAL"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BENSEAL CLAY","Benseal Clay",200,"BENSEAL CLAY"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Bent",210,"BENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT CHIPS","Bent Chips",220,"BENT CHIPS"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Bentionite",230,"BENTIONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT","Bentonite",240,"BENTONITE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & CM","Bentonite & Cement",250,"BENTONITE & CEMENT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & CC","Bentonite & Concrete",260,"BENTONITE & CONCRETE"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & GR","Bentonite & Grout",270,"BENTONITE & GROUT"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT & SAND","Bentonite & Sand",280,"BENTONITE & SAND"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT (125 BAGS)","Bentonite (125 Bags)",290,"BENTONITE (125 BAGS)"
"ETL_USER","2017-07-01 00:00:00-08","ETL_USER","2017-07-01 00:00:00-08","BT 20%","Bentonite 20%",300,"BENTONITE 20%"
