registries_application_status_guid,code,description,is_hidden,sort_order,when_created,when_updated,who_created,who_updated
"13b711fbd5b14e458938998a3469ccaf","P","Pending","N","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"99f3f69a8fca499a8769816e27d58463","A","Denied","N","4","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"c45fe5bd28854b9698bc363edb0c700e","D","Denied","N","4","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"a5975dca019e4fe3b5c69e94de13174c","I","Incomplete","N","4","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
