registries_qualification_guid,registries_subactivity_guid,code,description,display_order,create_date,update_date,create_user,update_user
"1f6c3324018c11e8ba890ed5f89f718b","1f6c2aaa018c11e8ba890ed5f89f718b","WAT","Water supply well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c3e46018c11e8ba890ed5f89f718b","1f6c2aaa018c11e8ba890ed5f89f718b","MON","Water supply well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c34aa018c11e8ba890ed5f89f718b","1f6c30c2018c11e8ba890ed5f89f718b","MON","Monitoring well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c35e0018c11e8ba890ed5f89f718b","1f6c2aaa018c11e8ba890ed5f89f718b","RECH","Recharge/Injection well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c372a018c11e8ba890ed5f89f718b","1f6c2aaa018c11e8ba890ed5f89f718b","DEWAT","Dewatering well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c3860018c11e8ba890ed5f89f718b","1f6c2aaa018c11e8ba890ed5f89f718b","REM","Remediatation well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c3f7c018c11e8ba890ed5f89f718b","1f6c30c2018c11e8ba890ed5f89f718b","REM","Remediatation well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c3bbc018c11e8ba890ed5f89f718b","1f6c2aaa018c11e8ba890ed5f89f718b","GEO","Geotechnical well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c4094018c11e8ba890ed5f89f718b","1f6c30c2018c11e8ba890ed5f89f718b","GEO","Geotechnical well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c3cde018c11e8ba890ed5f89f718b","1f6c3202018c11e8ba890ed5f89f718b","CLOS","Closed loop geoexchange well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
"1f6c41ac018c11e8ba890ed5f89f718b","1f6c2d0c018c11e8ba890ed5f89f718b","PUMP","Install pump in Water supply, Recharge/Injection, or Dewatering well","2","2018-01-01 00:00:00-08","2018-01-01 00:00:00-08","DATALOAD_USER","DATALOAD_USER"
