obswellcode
002
255
409
378
128
343
380
410
258
008
344
381
411
154
259
299
412
383
345
260
015
261
413
035
162
384
414
045
301
262
349
047
415
385
172
302
386
351
416
264
303
352
387
417
058
265
304
060
388
353
418
268
065
420
389
354
272
071
306
422
390
355
074
075
180
391
356
080
423
309
185
316
392
424
357
081
275
310
425
196
082
359
393
311
197
426
394
312
319
281
088
427
395
361
320
428
282
200
089
314
396
362
321
201
397
429
283
363
203
096
430
284
398
431
364
286
432
365
204
101
399
287
433
434
400
366
435
288
211
327
368
436
401
437
289
438
369
439
402
442
290
217
329
371
117
445
403
291
446
332
372
404
447
118
448
292
373
232
405
449
374
450
293
451
406
233
337
452
122
375
453
454
294
236
407
376
124
456
240
457
338
377
295
458
125
408
340
296
464
460
441
440
461
455
115
463
